ID_Venta;ID_Tiempo;ID_Producto;ID_Cliente;ID_Tienda;Cantidad;Precio_Unitario;Descuento;Total_Venta
8390;200;21;3825;3;5;1775397;887698;7989287
36537;1068;24;3666;4;6;1478642;887185;7984667
10000;487;22;2162;3;4;2851207;3421448;7983380
12665;1013;21;46;2;5;1576770;0;7883850
30738;700;21;721;3;4;1957950;0;7831800
20687;1072;21;4057;2;4;1951093;0;7804372
3087;925;24;1141;2;6;1300021;0;7800126
11512;1262;21;4138;5;4;1944625;0;7778500
1213;373;24;4337;3;6;1291424;0;7748544
6360;1440;24;4438;5;6;1511145;1360030;7706840
11046;1521;22;712;1;3;3203599;1922159;7688638
37348;2128;21;614;2;4;1919226;;7676904
21735;1143;21;2109;2;4;1918446;0;7673784
26609;677;21;2709;4;4;1913944;0;7655776
39386;1060;21;761;3;;2126598;850639;7655753
25803;1106;24;121;2;5;1529130;0;7645650
17199;219;23;217;3;8;954895;0;7639160
39089;1351;21;4522;1;4;1909691;0;7638764
36993;1900;21;937;1;5;1906291;1906291;7625164
23709;190;24;4962;3;5;1524236;0;7621180
34072;1067;22;2216;4;3;2984993;1343247;7611732
37934;1052;21;2703;2;4;1889770;0;7559080
34725;1744;24;55;1;6;1257852;0;7547112
33357;137;24;271;3;5;1507840;0;7539200
13124;1153;24;3606;4;5;1507092;0;7535460
39713;1295;21;3255;2;4;1879391;0;7517564
34248;399;21;3487;3;4;1974808;394962;7504270
14822;3;21;2383;3;4;1868335;0;7473340
4595;970;22;864;2;4;2947617;4421426;7369042
15593;1509;24;3298;4;5;1473479;0;7367395
4272;2076;23;253;4;8;914951;0;7319608
36187;2130;24;1276;5;5;1459457;0;7297285
28019;1987;21;4748;3;4;1819410;0;7277640
30937;3;21;1188;3;4;1806975;0;7227900
22384;2109;21;3746;5;4;2005225;802090;7218810
13261;1599;24;3886;3;5;1433254;0;7166270
19500;1400;21;399;3;4;1883386;376677;7156867
4307;1055;22;3565;4;3;2796885;1258598;7132057
39023;2059;24;911;5;6;1395535;1255982;7117228
28042;1518;21;463;3;-4;1774271;0;7097084
22208;632;21;4387;4;4;1771215;0;7084860
31985;1761;24;3140;2;5;1416459;0;7082295
10395;108;21;2891;3;4;1769269;0;7077076
6962;905;24;2266;3;5;1411224;0;7056120
5913;1514;21;4594;1;5;1660073;1245055;7055310
27473;460;21;3562;3;4;1845041;369008;7011156
27756;26;23;1608;3;8;873525;0;6988200
32819;2110;21;4236;1;4;1747011;0;6988044
319;356;21;2742;3;5;1994333;2991500;6980165
28243;846;22;4358;5;2;3486034;0;6972068
31671;323;22;598;3;2;3476456;0;6952912
6860;1346;24;652;1;5;1389549;0;6947745
35047;1062;22;720;3;2;3473457;0;6946914
22455;1657;22;1007;4;2;3464159;0;6928318
37753;936;22;493;5;2;3462973;0;6925946
4404;807;22;1085;4;2;3462802;0;6925604
9551;261;22;3844;3;3;3295896;2966306;6921382
17710;226;22;3689;3;2;3456786;0;6913572
32215;1229;22;42;4;2;3448338;0;6896676
12067;756;22;970;4;2;3444977;0;6889954
31186;905;22;1944;5;2;3442711;0;6885422
35498;1016;22;592;5;2;3442558;0;6885116
35978;82;22;2144;3;3;2866297;1719778;6879113
8447;1185;22;3003;1;2;3434732;0;6869464
10552;910;22;1658;5;2;3434462;0;6868924
12681;1557;22;1766;3;3;3418788;3418788;6837576
33719;290;21;3670;3;4;1708065;0;6832260
1275;1057;24;2294;4;6;1421040;1705248;6820992
3814;1299;21;4156;2;4;1704902;0;6819608
5150;297;23;1364;3;8;850857;0;6806856
