ID_Producto;Nombre_Producto;Categoria;Subcategoria;Marca
1;Rosas Rojas x12;Flores y Regalos;Flores;FloraCol
2;Rosas Blancas x6;Flores y Regalos;Flores;FloraCol
3;Arreglo Floral Premium;Flores y Regalos;Arreglos;FloraCol
4;Girasoles x5;Flores y Regalos;Flores;NaturBloom
5;Caja de Chocolates 200g;Alimentos;Confitería;Jet
6;Chocolates Ferrero 16u;Alimentos;Confitería;Ferrero
7;Chocolates Toblerone;Alimentos;Confitería;Toblerone
8;Trufa Belga Surtida;Alimentos;Confitería;Leonidas
9;Perfume Mujer 100ml;Belleza;Fragancias;Zara
10;Perfume Hombre 75ml;Belleza;Fragancias;Zara
11;Colonia Unisex 50ml;Belleza;Fragancias;Calvin Klein
12;Set Perfume + Loción;Belleza;Fragancias;Victoria S.
13;Vela Aromática;Hogar;Decoración;Yankee
14;Globos Corazón x10;Flores y Regalos;Decoración;Party Land
15;Peluche Oso Grande;Juguetes;Peluches;Hasbro
16;Peluche Pequeño;Juguetes;Peluches;Hasbro
17;Tarjeta San Valentín;Flores y Regalos;Tarjetas;Hallmark
18;Champagne Brut 750ml;Bebidas;Licores;Moët
19;Vino Rosé 750ml;Bebidas;Licores;Gato Negro
20;Copa de Cristal x2;Hogar;Menaje;Luminarc
21;"TV 55"" 4K UHD";Electrónica;Televisores;Samsung
22;"TV 65"" QLED";Electrónica;Televisores;Samsung
23;"TV 43"" Full HD";Electrónica;Televisores;LG
24;"Smart TV 50"" 4K";Electrónica;Televisores;Sony
25;"TV 32"" HD";Electrónica;Televisores;Kalley
26;Barra de Sonido 2.1;Electrónica;Audio;Samsung
27;Parlante Bluetooth;Electrónica;Audio;JBL
28;Papas Fritas 200g;Alimentos;Snacks;Pringles
29;Papas Ruffles 150g;Alimentos;Snacks;Ruffles
30;Maní con Sal 250g;Alimentos;Snacks;Planters
31;Nachos con Queso 180g;Alimentos;Snacks;Barcel
32;Cerveza Pack x6;Bebidas;Cervezas;Club Colombia
33;Cerveza Águila x6;Bebidas;Cervezas;Águila
34;Gaseosa Cola 3L;Bebidas;Gaseosas;Coca-Cola
35;Gaseosa Cola 2L;Bebidas;Gaseosas;Pepsi
36;Agua Mineral 1.5L;Bebidas;Agua;Cristal
37;Jugo Natural 1L;Bebidas;Jugos;Del Valle
38;Camiseta Selección Col;Ropa Deportiva;Fútbol;Adidas
39;Balón de Fútbol N°5;Deportes;Fútbol;Adidas
40;Silla Plegable Exterior;Hogar;Muebles;Rimax
41;Leche Entera 1L;Alimentos;Lácteos;Alquería
42;Yogur Natural 900g;Alimentos;Lácteos;Alpina
43;Queso Campesino 500g;Alimentos;Lácteos;Colanta
44;Huevos AA x12;Alimentos;Huevos;Santa Reyes
45;Arroz Premium 5kg;Alimentos;Granos;Roa
46;Frijol Rojo 500g;Alimentos;Granos;Gustositos
47;Aceite Girasol 1L;Alimentos;Aceites;Oleocali
48;Harina de Maíz 1kg;Alimentos;Harinas;Pan Pa Ya
49;Azúcar Blanca 2.5kg;Alimentos;Despensa;Manuelita
50;Café Molido 500g;Alimentos;Café;Juan Valdez
51;Café Instantáneo 170g;Alimentos;Café;Nescafé
52;Pasta Espagueti 500g;Alimentos;Pastas;Doria
53;Atún en Lata 160g;Alimentos;Conservas;Van Camps
54;Sardinas en Salsa;Alimentos;Conservas;Calvo
55;Pan Tajado;Alimentos;Panadería;Bimbo
56;Galletas Oreo 432g;Alimentos;Galletas;Oreo
57;Cereal Choco Krispis;Alimentos;Cereales;Kellogg's
58;Avena en Hojuelas 500g;Alimentos;Cereales;Quaker
59;Mantequilla 250g;Alimentos;Lácteos;Colanta
60;Mermelada Fresa 300g;Alimentos;Dulces;Fruco
