ID_Tiempo;Fecha;Dia;Mes;Anio;Dia_Semana;Trimestre
1;10/01/2020;10;Enero;2020;Viernes;1
2;11/01/2020;11;Enero;2020;Sábado;1
3;12/01/2020;12;Enero;2020;Domingo;1
4;13/01/2020;13;Enero;2020;Lunes;1
5;14/01/2020;14;Enero;2020;Martes;1
6;15/01/2020;15;Enero;2020;Miércoles;1
7;16/01/2020;16;Enero;2020;Jueves;1
8;17/01/2020;17;Enero;2020;Viernes;1
9;18/01/2020;18;Enero;2020;Sábado;1
10;19/01/2020;19;Enero;2020;Domingo;1
11;20/01/2020;20;Enero;2020;Lunes;1
12;21/01/2020;21;Enero;2020;Martes;1
13;22/01/2020;22;Enero;2020;Miércoles;1
14;23/01/2020;23;Enero;2020;Jueves;1
15;24/01/2020;24;Enero;2020;Viernes;1
16;25/01/2020;25;Enero;2020;Sábado;1
17;26/01/2020;26;Enero;2020;Domingo;1
18;27/01/2020;27;Enero;2020;Lunes;1
19;28/01/2020;28;Enero;2020;Martes;1
20;29/01/2020;29;Enero;2020;Miércoles;1
21;30/01/2020;30;Enero;2020;Jueves;1
22;31/01/2020;31;Enero;2020;Viernes;1
23;1/02/2020;1;Febrero;2020;Sábado;1
24;2/02/2020;2;Febrero;2020;Domingo;1
25;3/02/2020;3;Febrero;2020;Lunes;1
26;4/02/2020;4;Febrero;2020;Martes;1
27;5/02/2020;5;Febrero;2020;Miércoles;1
28;6/02/2020;6;Febrero;2020;Jueves;1
29;7/02/2020;7;Febrero;2020;Viernes;1
30;8/02/2020;8;Febrero;2020;Sábado;1
31;9/02/2020;9;Febrero;2020;Domingo;1
32;10/02/2020;10;Febrero;2020;Lunes;1
33;11/02/2020;11;Febrero;2020;Martes;1
34;12/02/2020;12;Febrero;2020;Miércoles;1
35;13/02/2020;13;Febrero;2020;Jueves;1
36;14/02/2020;14;Febrero;2020;Viernes;1
37;15/02/2020;15;Febrero;2020;Sábado;1
38;16/02/2020;16;Febrero;2020;Domingo;1
39;17/02/2020;17;Febrero;2020;Lunes;1
40;18/02/2020;18;Febrero;2020;Martes;1
41;19/02/2020;19;Febrero;2020;Miércoles;1
42;20/02/2020;20;Febrero;2020;Jueves;1
43;21/02/2020;21;Febrero;2020;Viernes;1
44;22/02/2020;22;Febrero;2020;Sábado;1
45;23/02/2020;23;Febrero;2020;Domingo;1
46;24/02/2020;24;Febrero;2020;Lunes;1
47;25/02/2020;25;Febrero;2020;Martes;1
48;26/02/2020;26;Febrero;2020;Miércoles;1
49;27/02/2020;27;Febrero;2020;Jueves;1
50;28/02/2020;28;Febrero;2020;Viernes;1
51;29/02/2020;29;Febrero;2020;Sábado;1
52;1/03/2020;1;Marzo;2020;Domingo;1
53;2/03/2020;2;Marzo;2020;Lunes;1
54;3/03/2020;3;Marzo;2020;Martes;1
55;4/03/2020;4;Marzo;2020;Miércoles;1
56;5/03/2020;5;Marzo;2020;Jueves;1
57;6/03/2020;6;Marzo;2020;Viernes;1
58;7/03/2020;7;Marzo;2020;Sábado;1
59;8/03/2020;8;Marzo;2020;Domingo;1
60;9/03/2020;9;Marzo;2020;Lunes;1
61;10/03/2020;10;Marzo;2020;Martes;1
62;11/03/2020;11;Marzo;2020;Miércoles;1
63;12/03/2020;12;Marzo;2020;Jueves;1
64;13/03/2020;13;Marzo;2020;Viernes;1
65;14/03/2020;14;Marzo;2020;Sábado;1
66;15/03/2020;15;Marzo;2020;Domingo;1
67;16/03/2020;16;Marzo;2020;Lunes;1
68;17/03/2020;17;Marzo;2020;Martes;1
69;18/03/2020;18;Marzo;2020;Miércoles;1
70;19/03/2020;19;Marzo;2020;Jueves;1
71;20/03/2020;20;Marzo;2020;Viernes;1
72;21/03/2020;21;Marzo;2020;Sábado;1
73;22/03/2020;22;Marzo;2020;Domingo;1
74;23/03/2020;23;Marzo;2020;Lunes;1
75;24/03/2020;24;Marzo;2020;Martes;1
76;25/03/2020;25;Marzo;2020;Miércoles;1
77;26/03/2020;26;Marzo;2020;Jueves;1
78;27/03/2020;27;Marzo;2020;Viernes;1
79;28/03/2020;28;Marzo;2020;Sábado;1
80;29/03/2020;29;Marzo;2020;Domingo;1
81;30/03/2020;30;Marzo;2020;Lunes;1
82;31/03/2020;31;Marzo;2020;Martes;1
83;1/04/2020;1;Abril;2020;Miércoles;2
84;2/04/2020;2;Abril;2020;Jueves;2
85;3/04/2020;3;Abril;2020;Viernes;2
86;4/04/2020;4;Abril;2020;Sábado;2
87;5/04/2020;5;Abril;2020;Domingo;2
88;6/04/2020;6;Abril;2020;Lunes;2
89;7/04/2020;7;Abril;2020;Martes;2
90;8/04/2020;8;Abril;2020;Miércoles;2
91;9/04/2020;9;Abril;2020;Jueves;2
92;10/04/2020;10;Abril;2020;Viernes;2
93;11/04/2020;11;Abril;2020;Sábado;2
94;12/04/2020;12;Abril;2020;Domingo;2
95;13/04/2020;13;Abril;2020;Lunes;2
96;14/04/2020;14;Abril;2020;Martes;2
97;15/04/2020;15;Abril;2020;Miércoles;2
98;16/04/2020;16;Abril;2020;Jueves;2
99;17/04/2020;17;Abril;2020;Viernes;2
100;18/04/2020;18;Abril;2020;Sábado;2
101;19/04/2020;19;Abril;2020;Domingo;2
102;20/04/2020;20;Abril;2020;Lunes;2
103;21/04/2020;21;Abril;2020;Martes;2
104;22/04/2020;22;Abril;2020;Miércoles;2
105;23/04/2020;23;Abril;2020;Jueves;2
106;24/04/2020;24;Abril;2020;Viernes;2
107;25/04/2020;25;Abril;2020;Sábado;2
108;26/04/2020;26;Abril;2020;Domingo;2
109;27/04/2020;27;Abril;2020;Lunes;2
110;28/04/2020;28;Abril;2020;Martes;2
111;29/04/2020;29;Abril;2020;Miércoles;2
112;30/04/2020;30;Abril;2020;Jueves;2
113;1/05/2020;1;Mayo;2020;Viernes;2
114;2/05/2020;2;Mayo;2020;Sábado;2
115;3/05/2020;3;Mayo;2020;Domingo;2
116;4/05/2020;4;Mayo;2020;Lunes;2
117;5/05/2020;5;Mayo;2020;Martes;2
118;6/05/2020;6;Mayo;2020;Miércoles;2
119;7/05/2020;7;Mayo;2020;Jueves;2
120;8/05/2020;8;Mayo;2020;Viernes;2
121;9/05/2020;9;Mayo;2020;Sábado;2
122;10/05/2020;10;Mayo;2020;Domingo;2
123;11/05/2020;11;Mayo;2020;Lunes;2
124;12/05/2020;12;Mayo;2020;Martes;2
125;13/05/2020;13;Mayo;2020;Miércoles;2
126;14/05/2020;14;Mayo;2020;Jueves;2
127;15/05/2020;15;Mayo;2020;Viernes;2
128;16/05/2020;16;Mayo;2020;Sábado;2
129;17/05/2020;17;Mayo;2020;Domingo;2
130;18/05/2020;18;Mayo;2020;Lunes;2
131;19/05/2020;19;Mayo;2020;Martes;2
132;20/05/2020;20;Mayo;2020;Miércoles;2
133;21/05/2020;21;Mayo;2020;Jueves;2
134;22/05/2020;22;Mayo;2020;Viernes;2
135;23/05/2020;23;Mayo;2020;Sábado;2
136;24/05/2020;24;Mayo;2020;Domingo;2
137;25/05/2020;25;Mayo;2020;Lunes;2
138;26/05/2020;26;Mayo;2020;Martes;2
139;27/05/2020;27;Mayo;2020;Miércoles;2
140;28/05/2020;28;Mayo;2020;Jueves;2
141;29/05/2020;29;Mayo;2020;Viernes;2
142;30/05/2020;30;Mayo;2020;Sábado;2
143;31/05/2020;31;Mayo;2020;Domingo;2
144;1/06/2020;1;Junio;2020;Lunes;2
145;2/06/2020;2;Junio;2020;Martes;2
146;3/06/2020;3;Junio;2020;Miércoles;2
147;4/06/2020;4;Junio;2020;Jueves;2
148;5/06/2020;5;Junio;2020;Viernes;2
149;6/06/2020;6;Junio;2020;Sábado;2
150;7/06/2020;7;Junio;2020;Domingo;2
151;8/06/2020;8;Junio;2020;Lunes;2
152;9/06/2020;9;Junio;2020;Martes;2
153;10/06/2020;10;Junio;2020;Miércoles;2
154;11/06/2020;11;Junio;2020;Jueves;2
155;12/06/2020;12;Junio;2020;Viernes;2
156;13/06/2020;13;Junio;2020;Sábado;2
157;14/06/2020;14;Junio;2020;Domingo;2
158;15/06/2020;15;Junio;2020;Lunes;2
159;16/06/2020;16;Junio;2020;Martes;2
160;17/06/2020;17;Junio;2020;Miércoles;2
161;18/06/2020;18;Junio;2020;Jueves;2
162;19/06/2020;19;Junio;2020;Viernes;2
163;20/06/2020;20;Junio;2020;Sábado;2
164;21/06/2020;21;Junio;2020;Domingo;2
165;22/06/2020;22;Junio;2020;Lunes;2
166;23/06/2020;23;Junio;2020;Martes;2
167;24/06/2020;24;Junio;2020;Miércoles;2
168;25/06/2020;25;Junio;2020;Jueves;2
169;26/06/2020;26;Junio;2020;Viernes;2
170;27/06/2020;27;Junio;2020;Sábado;2
171;28/06/2020;28;Junio;2020;Domingo;2
172;29/06/2020;29;Junio;2020;Lunes;2
173;30/06/2020;30;Junio;2020;Martes;2
174;1/07/2020;1;Julio;2020;Miércoles;3
175;2/07/2020;2;Julio;2020;Jueves;3
176;3/07/2020;3;Julio;2020;Viernes;3
177;4/07/2020;4;Julio;2020;Sábado;3
178;5/07/2020;5;Julio;2020;Domingo;3
179;6/07/2020;6;Julio;2020;Lunes;3
180;7/07/2020;7;Julio;2020;Martes;3
181;8/07/2020;8;Julio;2020;Miércoles;3
182;9/07/2020;9;Julio;2020;Jueves;3
183;10/07/2020;10;Julio;2020;Viernes;3
184;11/07/2020;11;Julio;2020;Sábado;3
185;12/07/2020;12;Julio;2020;Domingo;3
186;13/07/2020;13;Julio;2020;Lunes;3
187;14/07/2020;14;Julio;2020;Martes;3
188;15/07/2020;15;Julio;2020;Miércoles;3
189;16/07/2020;16;Julio;2020;Jueves;3
190;17/07/2020;17;Julio;2020;Viernes;3
191;18/07/2020;18;Julio;2020;Sábado;3
192;19/07/2020;19;Julio;2020;Domingo;3
193;20/07/2020;20;Julio;2020;Lunes;3
194;21/07/2020;21;Julio;2020;Martes;3
195;22/07/2020;22;Julio;2020;Miércoles;3
196;23/07/2020;23;Julio;2020;Jueves;3
197;24/07/2020;24;Julio;2020;Viernes;3
198;25/07/2020;25;Julio;2020;Sábado;3
199;26/07/2020;26;Julio;2020;Domingo;3
200;27/07/2020;27;Julio;2020;Lunes;3
201;28/07/2020;28;Julio;2020;Martes;3
202;29/07/2020;29;Julio;2020;Miércoles;3
203;30/07/2020;30;Julio;2020;Jueves;3
204;31/07/2020;31;Julio;2020;Viernes;3
205;1/08/2020;1;Agosto;2020;Sábado;3
206;2/08/2020;2;Agosto;2020;Domingo;3
207;3/08/2020;3;Agosto;2020;Lunes;3
208;4/08/2020;4;Agosto;2020;Martes;3
209;5/08/2020;5;Agosto;2020;Miércoles;3
210;6/08/2020;6;Agosto;2020;Jueves;3
211;7/08/2020;7;Agosto;2020;Viernes;3
212;8/08/2020;8;Agosto;2020;Sábado;3
213;9/08/2020;9;Agosto;2020;Domingo;3
214;10/08/2020;10;Agosto;2020;Lunes;3
215;11/08/2020;11;Agosto;2020;Martes;3
216;12/08/2020;12;Agosto;2020;Miércoles;3
217;13/08/2020;13;Agosto;2020;Jueves;3
218;14/08/2020;14;Agosto;2020;Viernes;3
219;15/08/2020;15;Agosto;2020;Sábado;3
220;16/08/2020;16;Agosto;2020;Domingo;3
221;17/08/2020;17;Agosto;2020;Lunes;3
222;18/08/2020;18;Agosto;2020;Martes;3
223;19/08/2020;19;Agosto;2020;Miércoles;3
224;20/08/2020;20;Agosto;2020;Jueves;3
225;21/08/2020;21;Agosto;2020;Viernes;3
226;22/08/2020;22;Agosto;2020;Sábado;3
227;23/08/2020;23;Agosto;2020;Domingo;3
228;24/08/2020;24;Agosto;2020;Lunes;3
229;25/08/2020;25;Agosto;2020;Martes;3
230;26/08/2020;26;Agosto;2020;Miércoles;3
231;27/08/2020;27;Agosto;2020;Jueves;3
232;28/08/2020;28;Agosto;2020;Viernes;3
233;29/08/2020;29;Agosto;2020;Sábado;3
234;30/08/2020;30;Agosto;2020;Domingo;3
235;31/08/2020;31;Agosto;2020;Lunes;3
236;1/09/2020;1;Septiembre;2020;Martes;3
237;2/09/2020;2;Septiembre;2020;Miércoles;3
238;3/09/2020;3;Septiembre;2020;Jueves;3
239;4/09/2020;4;Septiembre;2020;Viernes;3
240;5/09/2020;5;Septiembre;2020;Sábado;3
241;6/09/2020;6;Septiembre;2020;Domingo;3
242;7/09/2020;7;Septiembre;2020;Lunes;3
243;8/09/2020;8;Septiembre;2020;Martes;3
244;9/09/2020;9;Septiembre;2020;Miércoles;3
245;10/09/2020;10;Septiembre;2020;Jueves;3
246;11/09/2020;11;Septiembre;2020;Viernes;3
247;12/09/2020;12;Septiembre;2020;Sábado;3
248;13/09/2020;13;Septiembre;2020;Domingo;3
249;14/09/2020;14;Septiembre;2020;Lunes;3
250;15/09/2020;15;Septiembre;2020;Martes;3
251;16/09/2020;16;Septiembre;2020;Miércoles;3
252;17/09/2020;17;Septiembre;2020;Jueves;3
253;18/09/2020;18;Septiembre;2020;Viernes;3
254;19/09/2020;19;Septiembre;2020;Sábado;3
255;20/09/2020;20;Septiembre;2020;Domingo;3
256;21/09/2020;21;Septiembre;2020;Lunes;3
257;22/09/2020;22;Septiembre;2020;Martes;3
258;23/09/2020;23;Septiembre;2020;Miércoles;3
259;24/09/2020;24;Septiembre;2020;Jueves;3
260;25/09/2020;25;Septiembre;2020;Viernes;3
261;26/09/2020;26;Septiembre;2020;Sábado;3
262;27/09/2020;27;Septiembre;2020;Domingo;3
263;28/09/2020;28;Septiembre;2020;Lunes;3
264;29/09/2020;29;Septiembre;2020;Martes;3
265;30/09/2020;30;Septiembre;2020;Miércoles;3
266;1/10/2020;1;Octubre;2020;Jueves;4
267;2/10/2020;2;Octubre;2020;Viernes;4
268;3/10/2020;3;Octubre;2020;Sábado;4
269;4/10/2020;4;Octubre;2020;Domingo;4
270;5/10/2020;5;Octubre;2020;Lunes;4
271;6/10/2020;6;Octubre;2020;Martes;4
272;7/10/2020;7;Octubre;2020;Miércoles;4
273;8/10/2020;8;Octubre;2020;Jueves;4
274;9/10/2020;9;Octubre;2020;Viernes;4
275;10/10/2020;10;Octubre;2020;Sábado;4
276;11/10/2020;11;Octubre;2020;Domingo;4
277;12/10/2020;12;Octubre;2020;Lunes;4
278;13/10/2020;13;Octubre;2020;Martes;4
279;14/10/2020;14;Octubre;2020;Miércoles;4
280;15/10/2020;15;Octubre;2020;Jueves;4
281;16/10/2020;16;Octubre;2020;Viernes;4
282;17/10/2020;17;Octubre;2020;Sábado;4
283;18/10/2020;18;Octubre;2020;Domingo;4
284;19/10/2020;19;Octubre;2020;Lunes;4
285;20/10/2020;20;Octubre;2020;Martes;4
286;21/10/2020;21;Octubre;2020;Miércoles;4
287;22/10/2020;22;Octubre;2020;Jueves;4
288;23/10/2020;23;Octubre;2020;Viernes;4
289;24/10/2020;24;Octubre;2020;Sábado;4
290;25/10/2020;25;Octubre;2020;Domingo;4
291;26/10/2020;26;Octubre;2020;Lunes;4
292;27/10/2020;27;Octubre;2020;Martes;4
